"location","datetime","date","latitude","longitude","county","visitor","algaeobserved","sampledepth","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","picurl"
"Swimming Pen Creek - Whitey's Fish Camp",2022-05-02 14:15:00,2022-05-02,30.100860668579,-81.7461638693996,"Clay","DEP_NE_ROC","Yes",0.3,"Dominant taxon: Aphanizomenon flos-aquae","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3606/attachments/3218?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Swimming Pen Creek - Whitey's Fish Camp",2022-05-02 14:15:00,2022-05-02,30.100860668579,-81.7461638693996,"Clay","NEROC","Yes",0.3,"Dominant taxon: Aphanizomenon flos-aquae","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5225/attachments/1641?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Crescent Lake - mouth of Dunns Creek (CRESLM)",2022-05-02 12:35:00,2022-05-02,29.529556,-81.5537222,"Putnam","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.58,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Crescent Lake - near Pomona Landing Rd",2022-05-02 12:32:00,2022-05-02,29.50535,-81.5572333333333,"Putnam","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.2,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Lake George - Center (LEO)",2022-04-28 13:36:00,2022-04-28,29.3083055555556,-81.6063888888889,"Volusia","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Lake Washington - Center (LWC)",2022-04-28 12:35:00,2022-04-28,28.1424397,-80.74444652,"Brevard","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3603/attachments/3214?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Apopka - Newton Park dock",2022-04-27 18:20:00,2022-04-27,28.578227,-81.5872109,"Orange","DEP_CEN_ROC","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Lake very green ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3593/attachments/3198?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Apopka - Newton Park dock",2022-04-27 18:20:00,2022-04-27,28.578227,-81.5872109,"Orange","CEROC","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Lake very green ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5212/attachments/1621?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Griffin - South Lobe",2022-04-27 16:35:00,2022-04-27,28.8251933,-81.8641526,"Lake","DEP_CEN_ROC","Yes",0.3,"Dominant taxon: Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Whole lake very green","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3590/attachments/3195?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Griffin - South Lobe",2022-04-27 16:35:00,2022-04-27,28.8251933,-81.8641526,"Lake","CEROC","Yes",0.3,"Dominant taxon: Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Whole lake very green","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5209/attachments/1618?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Jesup - Center (OW-CTR)",2022-04-27 14:35:00,2022-04-27,28.7268,-81.2111,"Seminole","SJRWMD","No",0.03,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Lake Monroe - Center (LMAC)",2022-04-27 14:11:00,2022-04-27,28.83496,-81.27091,"Volusia","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Lake Harris - Airport Control Station ",2022-04-26 16:28:00,2022-04-26,28.8102497,-81.8154709,"Lake","DEP_CEN_ROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3589/attachments/3193?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Harris - Airport Control Station ",2022-04-26 16:28:00,2022-04-26,28.8102497,-81.8154709,"Lake","CEROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5208/attachments/1616?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Dead River Canal - Bluegill Ave",2022-04-26 15:53:00,2022-04-26,28.815204,-81.773676,"Lake","DEP_CEN_ROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Surface of water still covered in floating aquatic vegetation with isolated algae globs","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3588/attachments/3191?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Dead River Canal - Bluegill Ave",2022-04-26 15:53:00,2022-04-26,28.815204,-81.773676,"Lake","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Surface of water still covered in floating aquatic vegetation with isolated algae globs","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5207/attachments/1614?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"St. Johns River - Mandarin Point (MP72)",2022-04-26 15:23:00,2022-04-26,30.1566666666667,-81.6838888888889,"Duval","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Alexander Spring - downstream of vent",2022-04-26 15:18:00,2022-04-26,29.081784,-81.576346,"Lake","DEP_CEN_ROC","No",0.3,"Co-dominant taxa were: Plectonema wollei and Hydrodictyon reticulatum","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Filamentous anchored to the bottom and attached to vegetation",
"Alexander Spring - downstream of vent",2022-04-26 15:18:00,2022-04-26,29.081784,-81.576346,"Lake","CEROC","No",0.3,"Co-dominant taxa were: Plectonema wollei and Hydrodictyon reticulatum","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Filamentous anchored to the bottom and attached to vegetation",
"Doctors Lake - Center (DTL)",2022-04-26 15:00:00,2022-04-26,30.1380555555556,-81.7272222222222,"Clay","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"St. Johns River - Shands Bridge (20030157)",2022-04-26 14:02:00,2022-04-26,29.9816305555556,-81.6221388888889,"StJohns","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,
"Blue Cypress Lake - Center (BCL)",2022-04-26 13:23:00,2022-04-26,27.7265622992558,-80.7541829076748,"IndianRiver","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","HAB Routine Sample Bloom observed","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3585/attachments/3186?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Stickmarsh - North (STKM)",2022-04-26 13:10:00,2022-04-26,27.8106011,-80.7248164,"IndianRiver","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","HAB Routine Sample Bloom observed","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3591/attachments/3197?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Stick Marsh - North (STKM)",2022-04-26 13:10:00,2022-04-26,27.8106011,-80.7248164,"IndianRiver","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","HAB Routine Sample Bloom observed","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5210/attachments/1620?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Sue - Lakeshore Dr. West Lobe",2022-04-25 17:24:00,2022-04-25,28.5769192,-81.3595279,"Orange","DEP_CEN_ROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.94,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"Lake Sue - Lakeshore Dr West Lobe",2022-04-25 17:24:00,2022-04-25,28.5769192,-81.3595279,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.94,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"Lake Mann - McQueen Park",2022-04-25 15:57:00,2022-04-25,28.5344713,-81.4235901,"Orange","DEP_CEN_ROC","Yes",0.3,"mixed algae; no dominant species in sample","No","Yes",2.2,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Small globs still suspended in water column","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3583/attachments/3184?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Mann - McQueen Park",2022-04-25 15:57:00,2022-04-25,28.5344713,-81.4235901,"Orange","CEROC","Yes",0.3,"mixed algae; no dominant species in sample","No","Yes",2.2,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Small globs still suspended in water column","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5202/attachments/1607?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Ivanhoe - Center of Eastern Lobe",2022-04-25 14:25:00,2022-04-25,28.5624448,-81.3751635,"Orange","DEP_CEN_ROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Very turbid and green throughout most of the eastern lobe","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3582/attachments/3181?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Ivanhoe - Center of Eastern Lobe",2022-04-25 14:25:00,2022-04-25,28.5624448,-81.3751635,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Very turbid and green throughout most of the eastern lobe","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5201/attachments/1604?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Wauberg - NW near Regatta Dr",2022-04-21 15:10:00,2022-04-21,29.534,-82.304,"Alachua","County","No",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",8.4,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"Orange Lake - McIntosh Bay",2022-04-21 14:05:00,2022-04-21,29.431,-82.193,"Alachua","County","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",3.3,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"Lake Kathryn - West Lobe",2022-04-19 18:12:00,2022-04-19,28.6843735,-81.3327393,"Seminole","DEP_CEN_ROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3574/attachments/3178?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Kathryn - West Lobe",2022-04-19 18:12:00,2022-04-19,28.6843735,-81.3327393,"Seminole","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5193/attachments/1601?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Griffin - at easement",2022-04-19 17:50:00,2022-04-19,28.6796914,-81.3391082,"Seminole","DEP_CEN_ROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Dolichospermum planctonicum","Yes","Yes",0.5,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Herbicide spraying likely","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3573/attachments/3176?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"Lake Griffin - at easement",2022-04-19 17:50:00,2022-04-19,28.6796914,-81.3391082,"Seminole","CEROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Dolichospermum planctonicum","Yes","Yes",0.5,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected","Herbicide spraying likely","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5192/attachments/1599?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Indian River Lagoon - Harbor Island Boat Basin",2022-04-19 13:45:00,2022-04-19,27.6901897868314,-80.3961474158367,"IndianRiver","DEP_SE_ROC","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"Indian River Lagoon - Harbor Island Boat Basin",2022-04-19 13:45:00,2022-04-19,27.6901897868314,-80.3961474158367,"IndianRiver","SEROC","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,
"St. Johns River - Memorial Park Shoreline",2022-04-18 18:10:00,2022-04-18,30.3098731176351,-81.6793765889536,"Duval","DEP_NE_ROC","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3569/attachments/3173?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
"St. Johns River - Memorial Park Shoreline",2022-04-18 18:10:00,2022-04-18,30.3098731176351,-81.6793765889536,"Duval","NEROC","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/5188/attachments/1596?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Winnott - 147 Bakers Acres Dr",2022-04-18 15:40:00,2022-04-18,29.6511402594834,-82.0473145478664,"Putnam","DEP_NE_ROC","Yes",0.3,"Dominant taxon: Dolichospermum helicoideum","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3568/attachments/3170?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6"
